,Area,Latitude,Longitude
0,Ameerpet,17.438300000000027,78.44680000000005
1,Begumpet,17.44372000000004,78.47074000000003
2,SR Nagar,17.44166000000007,78.44132000000008
3,Prakash Nagar,17.438507465797212,78.47487686245921
4,Punjagutta,17.42616000000004,78.45210000000003
5,Balkampet,17.444060000000036,78.45166000000006
6,Sanathnagar,17.456240000000037,78.44297000000006
7,Bharat Nagar,17.391680000000065,78.38298000000003
8,Erragadda,17.46420783010524,78.43038462461553
9,Borabanda,17.45270000000005,78.41256000000004
10,Moti Nagar,17.45658000000003,78.42478000000006
11,Khairtabad,17.422930000000065,78.46528000000006
12,Somajiguda,17.42345000000006,78.45836000000008
13,Raj Bhavan Road,17.416988817115254,78.46123849194437
14,Lakdikapool,17.401560000000075,78.46713000000005
15,Saifabad,17.40501000000006,78.46610000000004
16,A.C. Guards,17.39212257763705,78.45562257363957
17,Masab Tank,17.402810000000045,78.45197000000007
18,Chintal Basti,17.449190000000044,78.54001000000005
19,Musheerabad,17.41471000000007,78.50132000000008
20,Chikkadpally,17.402240000000063,78.49528000000004
21,Himayatnagar,17.404860000000042,78.48121000000003
22,Ashok Nagar,17.505720000000053,78.31466000000006
23,Domalguda,17.406810000000064,78.48561000000007
24,Hyderguda,17.365570000000048,78.42488000000003
25,Ramnagar,17.411760000000072,78.51029000000005
26,Azamabad,25.385260000000073,68.38150000000007
27,Adikmet,17.40677000000005,78.51279000000005
28,Nallakunta,17.397500000000036,78.50241000000005
29,Shanker Mutt,17.43333000000007,78.49038000000007
30,RTC X Roads,17.401880000000062,78.50860000000006
31,Gandhi Nagar,17.493480000000034,78.43403000000006
32,Bagh Lingampally,17.38823000000002,78.49271000000005
33,Vidyanagar,17.407300000000077,78.51357000000007
34,Amberpet,17.385820000000024,78.51836000000003
35,Tilaknagar,17.39265000000006,78.50778000000008
36,Golnaka,17.390810000000045,78.50628000000006
37,Barkatpura,17.392940000000067,78.49678000000006
38,Shivam Road,17.396445570224934,78.51160132462319
39,Jamia Osmania,17.40786192002075,78.51361923751095
40,Kachiguda,17.386880000000076,78.49553000000003
41,Badichowdi,17.388810000000035,78.48876000000007
42,Nampally,17.37895000000003,78.46529000000004
43,Abids,17.393210000000067,78.47332000000006
44,Aghapura,17.387740000000065,78.46308000000005
45,Koti,17.384875370237683,78.48437379094229
46,Bank Street,17.385003906297744,78.4859660218021
47,Boggulkunta,17.391030000000057,78.47840000000008
48,Secunderabad,17.442620000000034,78.50195000000008
49,Chilkalguda,17.43324000000007,78.50956000000008
50,Kavadiguda,17.422840000000065,78.49492000000004
51,MG Road (James Street),17.43268000000006,78.48719000000006
52,Madannapet,17.356370000000027,78.50315000000006
53,Minister Road,17.437854351472136,78.48129353815264
54,Mylargadda,17.428060000000073,78.51484000000005
55,Namalagundu,17.425530000000037,78.51226000000008
56,Padmarao Nagar,17.42616000000004,78.50690000000003
57,Pan bazar,17.434821248149444,78.48933790213053
58,Parsigutta,17.430060000000026,78.49393000000003
59,Patny,17.44405000000006,78.38161000000008
60,Rani Gunj,17.43267000000003,78.49030000000005
61,RP Road,17.493589994261782,78.41038996279724
62,Sindhi Colony,17.44201000000004,78.48027000000008
63,Sitaphalmandi,17.42644000000007,78.51974000000007
64,Tarnaka,17.42567870488496,78.53270794387855
65,Warsiguda,17.418860000000052,78.51462000000004
66,Addagutta,17.450300000000027,78.51162000000005
67,Tukaramgate,17.441177909275712,78.52259491177132
68,Secunderabad Cantonment,17.442620000000034,78.50195000000008
69,Bowenpally,17.473600000000033,78.47909000000004
70,Karkhana,17.45810000000006,78.49908000000005
71,Marredpally,17.447410000000048,78.50679000000008
72,Sikh Village,17.457610000000045,78.48713000000004
73,Trimulgherry,17.47548982723991,78.5230594875574
74,Vikrampuri,17.412550000000067,78.54461000000003
75,Gachibowli,17.43518000000006,78.37035000000003
76,Raidurg,17.41730000000007,78.38944000000004
77,Khajaguda,17.419760000000053,78.36851000000007
78,Manikonda,17.40139000000005,78.39166000000006
79,Nanakramguda,17.41399000000007,78.34580000000005
80,Kokapet,17.394890000000032,78.47073000000006
81,Shaikpet Hyderabad,17.404670000000067,78.39658000000009
82,HITEC City,17.43369000000007,78.38858000000005
83,Madhapur,17.456960000000038,78.39005000000003
84,Kondapur,17.466600000000028,78.35689000000008
85,Jubilee Hills,17.433560000000057,78.40295000000003
86,Banjara Hills,17.415350000000046,78.43434000000008
87,Film Nagar,17.40741484592673,78.4162069612071
88,Yousufguda,17.439450000000022,78.42358000000007
89,Srinagar colony,17.429040000000043,78.44242000000008
90,Serilingampally,17.48216000000002,78.32300000000004
91,Chanda Nagar,17.494620000000054,78.32560000000007
92,Allwyn Colony,17.501159453628194,78.42790572272892
93,Hafeezpet,17.489900000000034,78.35220000000004
94,Madinaguda,17.493000000000052,78.34181000000007
95,Miyapur,17.421010000000024,78.58247000000006
96,Kukatpally,17.48735000000005,78.42087000000004
97,Allwyn Colony,17.501159453628194,78.42790572272892
98,Bachupally,17.538760000000025,78.36367000000007
99,KPHB,17.493440000000078,78.39702000000005
100,Nizampet,17.52150000000006,78.38568000000004
101,Pragathi Nagar,17.47372000000007,78.42420000000004
102,Moosapet,17.469390000000033,78.42014000000006
103,Mallampet,17.560110694867774,78.3660587119931
104,Patancheru,17.526770000000056,78.25234000000006
105,BHEL Township,17.505990000000054,78.30454000000003
106,RC Puram,17.367149990688617,78.54617997936259
107,Ameenpur,17.535270000000025,78.31596000000008
108,Beeramguda,17.517810000000054,78.30427000000003
109,Kistareddypet,17.546040000000062,78.29801000000003
110,IDA Bollaram,17.543240000000026,78.34630000000004
111,"Medical Devices Park, Hyderabad",17.402770000000032,78.48768000000007
112,Balanagar,17.477180000000033,78.44818000000004
113,Fateh Nagar,17.453350000000057,78.45028000000008
114,Ferozguda,17.473062457196164,78.42868009318717
115,Old Bowenpally,17.484540000000038,78.48833000000008
116,Hasmathpet,17.473830000000078,78.48714000000007
117,Quthbullapur,17.496970000000033,78.46938000000006
118,Jeedimetla,17.51353000000006,78.47737000000006
119,Jagadgirigutta,17.50300537769953,78.41984139059143
120,Suraram,17.53744000000006,78.45389000000006
121,Pet Basheerabad,17.514360000000067,78.48169000000007
122,Kompally,17.558970000000045,78.45067000000006
123,Medchal,17.512556397777242,78.47970515837685
124,Kandlakoya,17.593780000000038,78.49102000000005
125,Alwal,17.50606374312901,78.49120538095788
126,Lothkunta,17.477583676491918,78.51078608081494
127,Old Alwal,17.50606374312901,78.49120538095788
128,Macha Bollaram,17.537030000000073,78.35077000000007
129,Venkatapuram,17.41525000000007,78.66500000000008
130,Shamirpet,17.559547341480975,78.54421309340594
131,Malkajgiri,17.447380000000067,78.53519000000006
132,Anandbagh,17.45772000000005,78.54169000000007
133,Ammuguda,17.49592000000007,78.53459000000004
134,Gautham Nagar,17.454710000000034,78.52808000000005
135,Kakatiya Nagar,17.407890000000066,78.61367000000007
136,Vinayak Nagar,17.342190000000073,78.49035000000003
137,Moula-Ali,17.466000000000065,78.56016000000005
138,Neredmet,17.463080000000048,78.51904000000007
139,Old Neredmet,17.467800000000068,78.53595000000007
140,Safilguda,17.460950000000025,78.53292000000005
141,Sainikpuri,17.462500596381865,78.51631589956472
142,Yapral,17.394890000000032,78.47073000000006
143,Kapra,17.494660000000067,78.40086000000008
144,A. S. Rao Nagar,17.47583000000003,78.55174000000005
145,ECIL 'X' Roads,17.363039924807175,78.58744882819826
146,Kamala Nagar,17.36561000000006,78.53305000000006
147,Kushaiguda,17.482440000000054,78.57422000000008
148,Cherlapally,17.448485003527473,78.57548998602456
149,Keesara,17.56669493670821,78.56866331243965
150,Nagaram,17.394890000000032,78.47073000000006
151,Dammaiguda,17.499270000000024,78.59398000000004
152,Jawaharnagar,17.441670000000045,78.43003000000004
153,Rampally,17.37895000000003,78.46529000000004
154,Cheriyal,17.394890000000032,78.47073000000006
155,Uppal,17.399610000000052,78.55461000000008
156,Habsiguda,17.417110000000037,78.54350000000005
157,Ramanthapur,17.37459000000007,78.45162000000005
158,Boduppal,17.40954000000005,78.57896000000005
159,Nagole,17.378930000000025,78.56204000000008
160,Nacharam,17.416089995492293,78.56555998724212
161,Mallapur,17.426116523914757,78.58166950486203
162,Ghatkesar,17.44887451434401,78.66249729112658
163,Peerzadiguda,17.401380000000074,78.59009000000003
164,Chengicherla,17.422118071481187,78.58473273140594
165,Pocharam,17.433760000000063,78.65639000000004
166,Narapally,17.416540000000055,78.63093000000003
167,Medipally,17.412509625232616,78.60683721869822
168,Dilsukhnagar,17.37062000000003,78.52376000000004
169,Kothapet,17.37145000000004,78.54190000000006
170,Gaddiannaram,17.36746000000005,78.52098000000007
171,Moosarambagh,17.372550000000047,78.51656000000008
